IMSS Item Identifier,Title,Subject(s),Object Type,Object Type,Object Type,Material,Material,Material,Material,Material, , ,
urn:imss:instrument:404017,+Galileo and Milton@en, fine arts, portraits , , ,canvas, , , , , , ,
urn:imss:instrument:404016,+Galileo and Viviani@en, fine arts, portraits , , ,wood, , , , , , ,
urn:imss:instrument:404002,+Galileo Galilei; Sidereus Nuncius@en, astronomy; optics, books , , ,paper, , , , , , ,
urn:imss:instrument:404001,+Galileo's objective lens@en, astronomy; optics, lenses, , ,ivory ,glass ,ebony ,brass, , , ,
urn:imss:instrument:405002,+Galileo's telescope@en, astronomy; optics, telescopes, , ,wood ,leather, , , , , ,
urn:imss:instrument:405001,+Galileo's telescope@en, astronomy; optics, telescopes, , ,wood ,copper ,paper, , , , ,
urn:imss:instrument:414123,+Galvanometer; Magrini pattern@en, electrical engineering, galvanometers , , ,mahogany ,brass, , , , , ,
urn:imss:instrument:414134,+Gaulard and Gibbs secondary generator@en, electrical engineering, transformers , , ,waxed paper ,iron ,copper ,mahogany ,brass, , ,
urn:imss:instrument:402086,+Geomantic compass@en, , compasses , , ,wood, , , , , , ,
urn:imss:instrument:403015,+Geometric and military compass@en, mathematics; geometry, scientific instruments , , proportional compasses ,brass, , , , , , ,
urn:imss:instrument:404006,+Geometric and military compass@en, mathematics; geometry; mechanics, scientific instruments, proportional compasses , ,brass, , , , , , ,
urn:imss:instrument:401076,+Geometrical square@en, mathematics; geometry, scientific instruments, squares , ,brass, , , , , , ,
urn:imss:instrument:402005,+Gimbaled compass@en, geometry, surveying instruments, compasses , ,gold ,wood ,leather ,brass, , , ,
urn:imss:instrument:414139,+Gimbaled magnetic compass@en, compasses , , , ,silver , , , , , , ,
urn:imss:instrument:414140,+Gimbaled magnetic compass@en, , compasses , , ,brass, , , , , , ,
urn:imss:instrument:414010,+Globe electrical machine; Nollet type@en, electrical engineering, scientific instruments , , ,ceramic ,mahogany ,brass, , , , ,
urn:imss:instrument:414040,+Gold-leaf electroscope@en, electrical engineering, electrometers , , ,glass ,gold leaf ,mahogany ,brass, , , ,
urn:imss:instrument:403011,+Graduated ruler@en, geometry, surveying instruments, scientific instruments , rulers ,brass, , , , , , ,
urn:imss:instrument:403020,+Graphometer@en, mathematics; geometry, surveying instruments , , ,brass, , , , , , ,
urn:imss:instrument:402043,+Graphometer@en, mathematics; geometry, surveying instruments , , ,brass, , , , , , ,
urn:imss:instrument:401078,+Graphometer@en, mathematics; geometry, surveying instruments , , ,brass, , , , , , ,
